text,label
"Quite it's okay, nothing special.",neutral
"fantastic product, exceeded my expectations.",positive
Extremely amazing features and great design. love it!,positive
Really very unhappy with this purchase.,negative
this product is amazing! i love it so much.,positive
Really perfect product for my needs. very happy!,positive
"Quite average quality, acceptable for the price.",neutral
"Pretty terrible customer service, avoid this company.",negative
Quite great quality and fast shipping.,positive
"Very outstanding quality, very happy customer.",positive
Pretty this product is amazing! i love it so much.,positive
Really this product is a complete disaster.,negative
Extremely worst purchase ever. do not recommend.,negative
"Quite this is terrible, do not buy.",negative
"standard product, does its job.",neutral
Very highly satisfied with this purchase.,positive
"horrible product, completely unsatisfied.",negative
"standard quality, works fine.",neutral
"the product is decent, nothing exceptional.",neutral
"Quite perfect product, highly recommend!",positive
"Really amazing product, exceeded all expectations.",positive
"functional product, nothing exceptional.",neutral
Really this product is amazing! i love it so much.,positive
excellent quality and fast shipping. highly recommend!,positive
this is the best product i've ever used.,positive
Pretty great quality and fast shipping.,positive
Extremely very disappointed with this purchase.,negative
Pretty best purchase i've made this year. worth every penny.,positive
"Very cheap quality, broke after one use.",negative
love this product! it's exactly what i needed.,positive
Pretty it does what it's supposed to do.,neutral
the product is acceptable.,neutral
"Very fantastic product, exceeded my expectations.",positive
"Very average quality, acceptable for the price.",neutral
Really perfect product for my needs. very happy!,positive
this product is amazing! i love it so much.,positive
Extremely perfect product for my needs. very happy!,positive
"Pretty it's okay, meets basic needs.",neutral
"it works fine, standard quality.",neutral
"it's okay, does what it's supposed to do.",neutral
"Extremely poor product, does not meet expectations.",negative
this is the best product i've ever used.,positive
"Extremely excellent quality, fast delivery, great price.",positive
"horrible experience, will never buy again.",negative
"bad product, complete waste.",negative
Really excellent quality and fast shipping. highly recommend!,positive
"average quality, nothing remarkable.",neutral
"standard product, does its job.",neutral
"Quite the product is fine, nothing exceptional.",neutral
"Quite bad product, complete waste.",negative
"outstanding quality, very happy customer.",positive
Extremely this product is amazing! i love it so much.,positive
"poor quality, not recommended.",negative
This product is a complete disaster.,negative
"poor quality, not recommended.",negative
Quite best purchase i've made this year. worth every penny.,positive
"excellent quality, fast delivery, great price.",positive
Really very disappointed with this purchase.,negative
"Extremely excellent quality, fast delivery, great price.",positive
"Pretty amazing product, exceeded all expectations.",positive
"Very the item is fine, nothing special.",neutral
"excellent value, would buy again.",positive
"standard product, does its job.",neutral
"this is terrible, do not buy.",negative
"the product is functional, nothing more.",neutral
"awful product, nothing works as advertised.",negative
"Very the product is fine, nothing exceptional.",neutral
"it's okay, does what it's supposed to do.",neutral
"fantastic product, exceeded my expectations.",positive
Really very disappointed with this purchase.,negative
"terrible customer service, avoid this company.",negative
Really worst purchase ever. do not recommend.,negative
"poor quality, not recommended.",negative
"terrible experience, very unhappy.",negative
"Extremely awful product, nothing works as advertised.",negative
highly satisfied with this purchase.,positive
Quite outstanding service and great customer support.,positive
Extremely very disappointed with this purchase.,negative
Perfect! Exactly what I was looking for.,positive
Quite bad service and unhelpful customer support.,negative
"Extremely poor product, does not meet expectations.",negative
"excellent value, would buy again.",positive
"bad quality, waste of money.",negative
"standard product, does its job.",neutral
"outstanding quality, very happy customer.",positive
Very perfect! exactly what i was looking for.,positive
Really perfect! exactly what i was looking for.,positive
Very this product is a complete disaster.,negative
the product arrived on time. it works as expected.,neutral
"Pretty standard product, does its job.",neutral
"Really poor quality product, not worth the price.",negative
"Very standard product, works as expected.",neutral
"Extremely fantastic product, exceeded my expectations.",positive
"Terrible experience, very unhappy.",negative
Very disappointed with this purchase.,negative
Very perfect product for my needs. very happy!,positive
Pretty great quality and fast shipping.,positive
"Really average quality, nothing remarkable.",neutral
highly satisfied with this purchase.,positive
Worst purchase ever. Do not recommend.,negative
Pretty worst quality i've ever seen.,negative
"horrible quality, avoid at all costs.",negative
"Extremely outstanding product, highly recommended!",positive
"Pretty it works, but could be better.",neutral
"Pretty it's okay, does what it's supposed to do.",neutral
"Very wonderful experience, will definitely buy again.",positive
Very perfect! exactly what i was looking for.,positive
"Very horrible product, completely unsatisfied.",negative
"Really average quality, acceptable for the price.",neutral
Really excellent quality and fast shipping. highly recommend!,positive
"Really outstanding quality, very happy customer.",positive
"Quite fantastic product, exceeded my expectations.",positive
"Average product, meets expectations.",neutral
Really best purchase i've made this year. worth every penny.,positive
Really the item arrived as described.,neutral
poor quality and slow shipping. very disappointed.,negative
Very it does what it's supposed to do.,neutral
"Pretty terrible product, complete waste of money.",negative
"Very the item is fine, nothing special.",neutral
"average product, meets expectations.",neutral
"It works fine, standard quality.",neutral
"Really awful product, nothing works as advertised.",negative
Perfect product for my needs. Very happy!,positive
"Really it's decent, nothing to complain about.",neutral
"Bad quality, waste of money.",negative
"horrible product, completely unsatisfied.",negative
"Extremely standard quality, works fine.",neutral
"amazing product, exceeded all expectations.",positive
"Very terrible product, complete waste of money.",negative
"cheap quality, broke after one use.",negative
"amazing product, exceeded all expectations.",positive
"It's okay, does what it's supposed to do.",neutral
"average quality, acceptable for the price.",neutral
"average product, acceptable quality.",neutral
"terrible customer service, avoid this company.",negative
bad service and unhelpful customer support.,negative
very unhappy with this purchase.,negative
"functional, nothing to write home about.",neutral
"amazing product, exceeded all expectations.",positive
"Very average product, nothing special but it works.",neutral
"Pretty the item is fine, nothing special.",neutral
the product arrived on time. it works as expected.,neutral
Extremely best purchase i've made this year. worth every penny.,positive
Extremely excellent service and great product.,positive
Very worst product i've ever purchased.,negative
Pretty worst quality i've ever seen.,negative
"Quite poor product, does not meet expectations.",negative
Extremely very disappointed with this purchase.,negative
"awful quality, very disappointed.",negative
"Very terrible product, complete waste of money.",negative
"Extremely the product is functional, nothing more.",neutral
"awful product, nothing works as advertised.",negative
"Very standard quality, works fine.",neutral
Quite excellent quality and fast shipping. highly recommend!,positive
"cheap quality, broke after one use.",negative
Extremely great quality and fast shipping.,positive
"outstanding product, highly recommended!",positive
Extremely this product is amazing! i love it so much.,positive
"Really excellent quality, fast delivery, great price.",positive
Excellent quality and fast shipping. Highly recommend!,positive
"Very terrible experience, very unhappy.",negative
"Very the product is fine, nothing exceptional.",neutral
the product arrived on time. it works as expected.,neutral
excellent quality and fast shipping. highly recommend!,positive
Really this is wonderful! i'm very satisfied.,positive
"Terrible customer service, avoid this company.",negative
"Extremely fantastic product, exceeded my expectations.",positive
"Really average quality, acceptable for the price.",neutral
"Quite terrible product, complete waste of money.",negative
"the product is fine, nothing exceptional.",neutral
perfect! exactly what i was looking for.,positive
outstanding service and great customer support.,positive
best purchase i've made this year. worth every penny.,positive
"perfect product, highly recommend!",positive
"Very excellent value, would buy again.",positive
Extremely this product is a complete disaster.,negative
"Pretty average quality, acceptable for the price.",neutral
"the product is functional, nothing more.",neutral
"Outstanding product, highly recommended!",positive
"great product, excellent customer service.",positive
Really excellent service and great product.,positive
"standard quality product, meets basic requirements.",neutral
"Quite poor quality product, not worth the price.",negative
Pretty excellent service and great product.,positive
"it works, but could be better.",neutral
"Extremely fantastic quality, very pleased with purchase.",positive
"Really awful quality, very disappointed.",negative
"Extremely the product is decent, nothing exceptional.",neutral
"Extremely poor quality product, not worth the price.",negative
"Extremely fantastic quality, very pleased with purchase.",positive
"Quite average product, acceptable quality.",neutral
"excellent quality, fast delivery, great price.",positive
"horrible product, completely unsatisfied.",negative
"Very poor quality, not recommended.",negative
Pretty this product is amazing! i love it so much.,positive
"Really it's okay, nothing special.",neutral
"Very awful product, nothing works as advertised.",negative
very disappointed with this purchase.,negative
"outstanding quality, very happy customer.",positive
"Quite average product, nothing special but it works.",neutral
highly satisfied with this purchase.,positive
"average quality, acceptable for the price.",neutral
Quite very disappointed with this purchase.,negative
"It's decent, nothing to complain about.",neutral
"Very perfect product, highly recommend!",positive
this product is amazing! i love it so much.,positive
"the product is functional, nothing more.",neutral
"standard product, does its job.",neutral
"Extremely awful product, nothing works as advertised.",negative
Great quality and fast shipping.,positive
"Pretty average product, nothing special but it works.",neutral
"Quite the product is decent, nothing exceptional.",neutral
Pretty excellent quality and fast shipping. highly recommend!,positive
"Quite standard product, works as expected.",neutral
"Quite wonderful experience, will definitely buy again.",positive
"Quite average product, acceptable quality.",neutral
"average product, acceptable quality.",neutral
"Really bad quality, waste of money.",negative
outstanding service and great customer support.,positive
"Quite terrible product, complete waste of money.",negative
"Pretty fantastic product, exceeded my expectations.",positive
"Very cheap quality, broke after one use.",negative
"excellent value, would buy again.",positive
"it's decent, nothing to complain about.",neutral
"average product, meets expectations.",neutral
"fantastic quality, very pleased with purchase.",positive
"terrible experience, would not recommend.",negative
Very outstanding service and great customer support.,positive
Very very disappointed with this purchase.,negative
Pretty best purchase i've made this year. worth every penny.,positive
"Very fantastic product, exceeded my expectations.",positive
this product is a complete disaster.,negative
"Really standard product, does its job.",neutral
Extremely it does what it's supposed to do.,neutral
"perfect product, highly recommend!",positive
worst quality i've ever seen.,negative
This is wonderful! I'm very satisfied.,positive
"it's decent, nothing to complain about.",neutral
"Average product, acceptable quality.",neutral
"it's okay, nothing special.",neutral
Pretty very disappointed with this purchase.,negative
"terrible product, complete waste of money.",negative
perfect product for my needs. very happy!,positive
"Very average product, meets expectations.",neutral
